,COUNTRY,CITY,total_damage
6,Afghanistan,Kunduz,211.0
5,Afghanistan,Kabul,60.0
9,Afghanistan,Zaranj,59.0
3,Afghanistan,Gardez,27.0
2,Afghanistan,Charikar,26.0
0,Afghanistan,Asadabad,6.0
7,Afghanistan,Maymana,6.0
8,Afghanistan,Taloqan,5.0
4,Afghanistan,Gereshk,2.0
1,Afghanistan,Baraki Barak,0.0
10,Albania,Bajram Curri,4.0
12,Albania,Tirana,3.0
11,Albania,Fier,1.0
20,Algeria,Lakhdaria,71.0
16,Algeria,Boufarik,66.0
15,Algeria,Birkhadem,44.0
19,Algeria,Khemis Miliana,42.0
17,Algeria,Dellys,36.0
13,Algeria,Baraki,25.0
21,Algeria,Naciria,24.0
18,Algeria,Hadjout,20.0
14,Algeria,Berrouaghia,10.0
23,Algeria,Thenia,2.0
22,Algeria,Rouiba,1.0
26,Angola,Luanda,428.0
25,Angola,Huambo,230.0
27,Angola,Lucapa,20.0
28,Angola,Sumbe,6.0
24,Angola,Cabinda,5.0
30,Argentina,Buenos Aires,1227.0
33,Argentina,Formosa,47.0
34,Argentina,Rosario,41.0
29,Argentina,Avellaneda,0.0
31,Argentina,Clorinda,0.0
32,Argentina,Comodoro Rivadavia,0.0
35,Argentina,Salta,0.0
36,Argentina,San Justo,0.0
37,Argentina,Santa Fe,0.0
38,Argentina,Trelew,0.0
39,Armenia,Bagratashen,58.0
45,Australia,Melbourne,29.0
47,Australia,Sydney,29.0
43,Australia,City,27.0
40,Australia,Brighton,4.0
41,Australia,Brisbane,1.0
42,Australia,Canberra,0.0
44,Australia,Darwin,0.0
46,Australia,Perth,0.0
51,Austria,Vienna,143.0
50,Austria,Linz,7.0
48,Austria,Graz,1.0
49,Austria,Klagenfurt,0.0
52,Bahrain,Manama,20.0
58,Bangladesh,Dhaka,644.0
75,Bangladesh,Sylhet,166.0
61,Bangladesh,Jessore,160.0
68,Bangladesh,Narayanganj,131.0
60,Bangladesh,Gazipur,121.0
63,Bangladesh,Khulna,78.0
55,Bangladesh,Brahmanbaria,53.0
69,Bangladesh,Netrakona,53.0
54,Bangladesh,Bogra,41.0
72,Bangladesh,Satkhira,37.0
57,Bangladesh,Chuadanga,22.0
66,Bangladesh,Naogaon,22.0
56,Bangladesh,Chittagong,18.0
76,Bangladesh,Tangail,15.0
71,Bangladesh,Rajshahi,9.0
64,Bangladesh,Kushtia,7.0
53,Bangladesh,Bhola,6.0
65,Bangladesh,Meherpur,6.0
67,Bangladesh,Narail,4.0
62,Bangladesh,Khagrachhari,3.0
70,Bangladesh,Pabna,3.0
74,Bangladesh,Sunamganj,3.0
59,Bangladesh,Faridpur,1.0
73,Bangladesh,Sherpur,0.0
77,Barbados,Bridgetown,0.0
78,Belgium,Brussels,452.0
80,Belgium,Marche-en-Famenne,8.0
79,Belgium,Charleroi,2.0
81,Belgium,Ostend,1.0
82,Belize,Belmopan,0.0
83,Benin,Cotonou,3.0
88,Bolivia,Oruro,62.0
86,Bolivia,La Paz,37.0
84,Bolivia,Caranavi,0.0
85,Bolivia,Cochabamba,0.0
87,Bolivia,Mizque,0.0
89,Bolivia,Sucre,0.0
90,Bolivia,Tarija,0.0
107,Bosnia and Herzegovina,Sarajevo,337.0
100,Bosnia and Herzegovina,Mostar,37.0
112,Bosnia and Herzegovina,Vitez,6.0
97,Bosnia and Herzegovina,Jajce,4.0
92,Bosnia and Herzegovina,Bijeljina,2.0
109,Bosnia and Herzegovina,Travnik,2.0
113,Bosnia and Herzegovina,Zenica,2.0
96,Bosnia and Herzegovina,Jablanica,1.0
91,Bosnia and Herzegovina,Banja Luka,0.0
93,Bosnia and Herzegovina,Bugojno,0.0
94,Bosnia and Herzegovina,Doboj,0.0
95,Bosnia and Herzegovina,Donja Mahala,0.0
98,Bosnia and Herzegovina,Janja,0.0
99,Bosnia and Herzegovina,Kakanj,0.0
101,Bosnia and Herzegovina,Novi Grad,0.0
102,Bosnia and Herzegovina,Novi Travnik,0.0
103,Bosnia and Herzegovina,Pale,0.0
104,Bosnia and Herzegovina,Polje,0.0
105,Bosnia and Herzegovina,Prijedor,0.0
106,Bosnia and Herzegovina,Prozor,0.0
108,Bosnia and Herzegovina,Stolac,0.0
110,Bosnia and Herzegovina,Trebinje,0.0
111,Bosnia and Herzegovina,Tuzla,0.0
114,Bosnia and Herzegovina,Zvornik,0.0
115,Botswana,Gaborone,1.0
121,Brazil,Rio de Janeiro,36.0
124,Brazil,São Paulo,8.0
119,Brazil,Porto Alegre,2.0
116,Brazil,Altamira,1.0
122,Brazil,Salvador,1.0
117,Brazil,Fortaleza,0.0
118,Brazil,Nova Tebas,0.0
120,Brazil,Recife,0.0
123,Brazil,Santos,0.0
125,Bulgaria,Burgas,37.0
128,Bulgaria,Pleven,1.0
126,Bulgaria,Montana,0.0
127,Bulgaria,Pernik,0.0
129,Bulgaria,Plovdiv,0.0
130,Bulgaria,Sofia,0.0
131,Bulgaria,Svilengrad,0.0
132,Burkina Faso,Ouagadougou,242.0
133,Burundi,Bujumbura,18.0
134,Burundi,Rutana,14.0
136,Cambodia,Siem Reap,1.0
135,Cambodia,Pursat,0.0
137,Cameroon,Kumbo,1.0
140,Canada,Montréal,366.0
142,Canada,Toronto,13.0
141,Canada,Ottawa,5.0
138,Canada,Campbell River,1.0
143,Canada,Vancouver,1.0
139,Canada,Guelph,0.0
144,Chad,Mao,0.0
154,Chile,Santiago,88.0
147,Chile,O'Higgins,12.0
148,Chile,Osorno,1.0
150,Chile,Puerto Montt,1.0
156,Chile,Talcahuano,1.0
145,Chile,Arica,0.0
146,Chile,Florida,0.0
149,Chile,Providencia,0.0
151,Chile,Punta Arenas,0.0
152,Chile,Quilicura,0.0
153,Chile,Rancagua,0.0
155,Chile,Talca,0.0
157,Chile,Temuco,0.0
158,Chile,Valdivia,0.0
159,China,Chengdu,51.0
164,China,Wuhan,50.0
162,China,Kashgar,32.0
160,China,Hotan,17.0
163,China,Shenzhen,4.0
166,China,Yinchuan,4.0
161,China,Kangding,0.0
165,China,Xiamen,0.0
189,Colombia,Bogota,2051.0
262,Colombia,Medellín,486.0
199,Colombia,Cali,226.0
230,Colombia,Florencia,171.0
190,Colombia,Bojaya,130.0
192,Colombia,Buenaventura,126.0
325,Colombia,Soacha,126.0
347,Colombia,Villavicencio,97.0
272,Colombia,Neiva,94.0
338,Colombia,Trujillo,80.0
246,Colombia,Ituango,73.0
185,Colombia,Barrancabermeja,56.0
264,Colombia,Miraflores,45.0
333,Colombia,Tierralta,32.0
261,Colombia,Marinilla,30.0
334,Colombia,Toledo,30.0
210,Colombia,Chita,28.0
212,Colombia,Cimitarra,28.0
313,Colombia,San Rafael,28.0
194,Colombia,Cachipay,23.0
321,Colombia,Saravena,21.0
314,Colombia,San Vicente,20.0
204,Colombia,Cartagena,19.0
265,Colombia,Miranda,19.0
225,Colombia,El Paujil,18.0
237,Colombia,Guapi,18.0
288,Colombia,Puerto Rico,18.0
186,Colombia,Barranquilla,16.0
302,Colombia,San Carlos,16.0
328,Colombia,Soledad,16.0
229,Colombia,Falan,15.0
296,Colombia,Rivera,14.0
311,Colombia,San Pablo,14.0
179,Colombia,Arauquita,13.0
267,Colombia,Montebello,12.0
300,Colombia,Samaniego,12.0
222,Colombia,El Castillo,11.0
245,Colombia,Itagui,11.0
322,Colombia,Sardinata,11.0
323,Colombia,Segovia,11.0
195,Colombia,Caicedo,10.0
248,Colombia,La Dorada,10.0
292,Colombia,Ricaurte,10.0
330,Colombia,Tame,10.0
200,Colombia,Caloto,9.0
220,Colombia,El Bagre,9.0
281,Colombia,Pereira,9.0
312,Colombia,San Pedro,9.0
217,Colombia,Dolores,8.0
228,Colombia,Envigado,8.0
242,Colombia,Hobo,8.0
273,Colombia,Orito,8.0
274,Colombia,Ortega,8.0
295,Colombia,Riosucio,8.0
310,Colombia,San Miguel,8.0
315,Colombia,Santa Marta,8.0
348,Colombia,Yarumal,8.0
308,Colombia,San Lorenzo,7.0
345,Colombia,Valledupar,7.0
202,Colombia,Campoalegre,6.0
280,Colombia,Pasto,6.0
349,Colombia,Yopal,6.0
209,Colombia,Chaparral,5.0
227,Colombia,El Tarra,5.0
293,Colombia,Riohacha,5.0
309,Colombia,San Luis,5.0
336,Colombia,Toribio,5.0
197,Colombia,Calamar,4.0
211,Colombia,Chivor,4.0
252,Colombia,La Vega,4.0
263,Colombia,Mercaderes,4.0
180,Colombia,Arboleda,3.0
182,Colombia,Armenia,3.0
188,Colombia,Berbeo,3.0
196,Colombia,Cajamarca,3.0
218,Colombia,Dosquebradas,3.0
232,Colombia,Fortul,3.0
234,Colombia,Granada,3.0
243,Colombia,Ipiales,3.0
254,Colombia,Linares,3.0
256,Colombia,Maicao,3.0
259,Colombia,Manizales,3.0
301,Colombia,San Antonio,3.0
306,Colombia,San Juan de Arama,3.0
326,Colombia,Sogamoso,3.0
170,Colombia,Aguadas,2.0
203,Colombia,Carmen de Viboral,2.0
207,Colombia,Cerro San Antonio,2.0
208,Colombia,Chameza,2.0
233,Colombia,Gigante,2.0
247,Colombia,La Cumbre,2.0
271,Colombia,Natagaima,2.0
285,Colombia,Pradera,2.0
286,Colombia,Pueblo Nuevo,2.0
339,Colombia,Tumaco,2.0
343,Colombia,Valdivia,2.0
172,Colombia,Algeciras,1.0
173,Colombia,Almaguer,1.0
176,Colombia,Andes,1.0
178,Colombia,Aracataca,1.0
184,Colombia,Baraya,1.0
187,Colombia,Bello,1.0
201,Colombia,Campo de la Cruz,1.0
205,Colombia,Cartago,1.0
213,Colombia,Corinto,1.0
219,Colombia,Duitama,1.0
221,Colombia,El Carmen,1.0
226,Colombia,El Tambo,1.0
231,Colombia,Florida,1.0
236,Colombia,Guamo,1.0
240,Colombia,Hato,1.0
249,Colombia,La Macarena,1.0
257,Colombia,Malambo,1.0
269,Colombia,Morales,1.0
270,Colombia,Murillo,1.0
275,Colombia,Ovejas,1.0
278,Colombia,Palermo,1.0
282,Colombia,Pijao,1.0
283,Colombia,Pitalito,1.0
289,Colombia,Puerto Triunfo,1.0
297,Colombia,Sabana de Torres,1.0
299,Colombia,Salamina,1.0
304,Colombia,San Francisco,1.0
305,Colombia,San Jacinto,1.0
316,Colombia,Santa Rosa,1.0
320,Colombia,Santo Domingo,1.0
329,Colombia,Sonson,1.0
332,Colombia,Tibacuy,1.0
337,Colombia,Tres Esquinas,1.0
340,Colombia,Turbaco,1.0
341,Colombia,Turbo,1.0
167,Colombia,Abejorral,0.0
168,Colombia,Abrego,0.0
169,Colombia,Aguachica,0.0
171,Colombia,Aipe,0.0
174,Colombia,Alpujarra,0.0
175,Colombia,Amalfi,0.0
177,Colombia,Anserma,0.0
181,Colombia,Argelia,0.0
183,Colombia,Atrato,0.0
191,Colombia,Bucaramanga,0.0
193,Colombia,Buenavista,0.0
198,Colombia,Caldono,0.0
206,Colombia,Caruru,0.0
214,Colombia,Coyaima,0.0
215,Colombia,Cunday,0.0
216,Colombia,Dagua,0.0
223,Colombia,El Doncello,0.0
224,Colombia,El Molino,0.0
235,Colombia,Guaduas,0.0
238,Colombia,Guateque,0.0
239,Colombia,Guayabal,0.0
241,Colombia,Hispania,0.0
244,Colombia,Isnos,0.0
250,Colombia,La Sierra,0.0
251,Colombia,La Tebaida,0.0
253,Colombia,Labranzagrande,0.0
255,Colombia,Los Palmitos,0.0
258,Colombia,Manaure,0.0
260,Colombia,Margarita,0.0
266,Colombia,Mocoa,0.0
268,Colombia,Montecristo,0.0
276,Colombia,Paez,0.0
277,Colombia,Pailitas,0.0
279,Colombia,Pamplona,0.0
284,Colombia,Plato,0.0
287,Colombia,Puerto Libertador,0.0
290,Colombia,Restrepo,0.0
291,Colombia,Retiro,0.0
294,Colombia,Rionegro,0.0
298,Colombia,Sabanalarga,0.0
303,Colombia,San Diego,0.0
307,Colombia,San Juan del Cesar,0.0
317,Colombia,Santa Rosa del Sur,0.0
318,Colombia,Santander de Quilichao,0.0
319,Colombia,Santiago,0.0
324,Colombia,Silvia,0.0
327,Colombia,Solano,0.0
331,Colombia,Tangua,0.0
335,Colombia,Tona,0.0
342,Colombia,Urumita,0.0
344,Colombia,Valle de San Juan,0.0
346,Colombia,Villanueva,0.0
350,Costa Rica,Heredia,1.0
351,Cote D'Ivoire (Ivory Coast),Grand-Bassam,52.0
358,Croatia,Rijeka,30.0
356,Croatia,Petrinja,5.0
360,Croatia,Vinkovci,2.0
357,Croatia,Pula,1.0
352,Croatia,Bibinje,0.0
353,Croatia,Kutina,0.0
354,Croatia,Makarska,0.0
355,Croatia,Orahovica,0.0
359,Croatia,Slavonski Brod,0.0
361,Croatia,Zadar,0.0
362,Cuba,Havana,5.0
363,Cuba,Varadero,0.0
366,Cyprus,Nicosia,39.0
365,Cyprus,Limassol,11.0
364,Cyprus,Larnaca,0.0
367,Czech Republic,Ostrava,4.0
368,Czech Republic,Prague,1.0
369,Denmark,Copenhagen,40.0
370,Denmark,Greve,0.0
372,Dominican Republic,Santo Domingo,3.0
371,Dominican Republic,Mella,0.0
373,East Timor,Dili,2.0
374,East Timor,Viqueque,2.0
380,Ecuador,Quito,14.0
377,Ecuador,Guayaquil,5.0
379,Ecuador,Portoviejo,3.0
375,Ecuador,Ambato,0.0
376,Ecuador,Cuenca,0.0
378,Ecuador,Loja,0.0
384,Egypt,Cairo,440.0
390,Egypt,Sharm el-Sheikh,206.0
381,Egypt,Alexandria,159.0
388,Egypt,Luxor,108.0
385,Egypt,Dahab,106.0
382,Egypt,Arish,15.0
387,Egypt,Hurghada,13.0
383,Egypt,Aswan,9.0
386,Egypt,Giza,3.0
389,Egypt,Port Said,3.0
394,El Salvador,San Salvador,115.0
393,El Salvador,San Miguel,6.0
391,El Salvador,Chalchuapa,1.0
392,El Salvador,San Marcos,0.0
395,El Salvador,Suchitoto,0.0
397,Eritrea,Barentu,53.0
398,Eritrea,Teseney,15.0
396,Eritrea,Asmara,2.0
399,Estonia,Tallinn,4.0
402,Ethiopia,Jijiga,83.0
401,Ethiopia,Bishoftu,4.0
400,Ethiopia,Axum,0.0
403,Ethiopia,Korem,0.0
404,Fiji Islands,Lautoka,0.0
405,Finland,Turku,10.0
478,France,Paris,2211.0
475,France,Nice,561.0
466,France,Marseille,89.0
464,France,Lyon,46.0
429,France,Borgo,29.0
408,France,Ajaccio,23.0
434,France,Carcassonne,19.0
433,France,Cannes,18.0
494,France,Strasbourg,18.0
410,France,Alfortville,13.0
423,France,Bayonne,13.0
452,France,Hendaye,13.0
420,France,Barr,9.0
488,France,Saint-Jean-de-Luz,9.0
446,France,Ghisonaccia,7.0
496,France,Toulouse,7.0
421,France,Bastia,5.0
425,France,Biarritz,4.0
442,France,Corte,3.0
504,France,Villejuif,3.0
413,France,Anglet,2.0
479,France,Pau,2.0
407,France,Aix-en-Provence,1.0
422,France,Baule,1.0
427,France,Bonifacio,1.0
430,France,Callac,1.0
431,France,Calvi,1.0
441,France,Conflans-Sainte-Honorine,1.0
443,France,Dinan,1.0
485,France,Rennes,1.0
490,France,Sare,1.0
502,France,Versailles,1.0
406,France,Afa,0.0
409,France,Albitreccia,0.0
411,France,Amiens,0.0
412,France,Angers,0.0
414,France,Annecy,0.0
415,France,Arles,0.0
416,France,Ascain,0.0
417,France,Aubagne,0.0
418,France,Auch,0.0
419,France,Avignon,0.0
424,France,Belfort,0.0
426,France,Biguglia,0.0
428,France,Bordeaux,0.0
432,France,Cambo-les-Bains,0.0
435,France,Cauro,0.0
436,France,Cervione,0.0
437,France,Ciboure,0.0
438,France,Cintegabelle,0.0
439,France,Clermont-Ferrand,0.0
440,France,Clichy,0.0
444,France,Espelette,0.0
445,France,Furiani,0.0
447,France,Gironde,0.0
448,France,Gouarec,0.0
449,France,Guichen,0.0
450,France,Hasparren,0.0
451,France,Haute-Savoie,0.0
453,France,Itxassou,0.0
454,France,La Ciotat,0.0
455,France,La Seyne-sur-Mer,0.0
456,France,Larressore,0.0
457,France,Le Mans,0.0
458,France,Levallois-Perret,0.0
459,France,Lille,0.0
460,France,Linguizzetta,0.0
461,France,Lourdes,0.0
462,France,Lucciana,0.0
463,France,Lumio,0.0
465,France,Manche,0.0
467,France,Massy,0.0
468,France,Matignon,0.0
469,France,Mayenne,0.0
470,France,Montpellier,0.0
471,France,Morlaix,0.0
472,France,Nanterre,0.0
473,France,Nantes,0.0
474,France,Narbonne,0.0
476,France,Olmeto,0.0
477,France,Paimpol,0.0
480,France,Perpignan,0.0
