COUNTRY,CATEGORY,Category_count
Afghanistan,Assault,330
Afghanistan,"Assault,Explosion",31
Afghanistan,"Assault,Explosion,Hostage",2
Afghanistan,"Assault,Hostage",20
Afghanistan,Explosion,693
Afghanistan,"Explosion,Accident",3
Afghanistan,"Explosion,Hostage",3
Afghanistan,Hostage,79
Albania,Assault,1
Albania,"Assault,Explosion",1
Albania,Explosion,41
Albania,Hostage,1
Algeria,Assault,25
Algeria,"Assault,Explosion",4
Algeria,"Assault,Hostage",2
Algeria,Explosion,179
Algeria,"Explosion,Accident",1
Algeria,Hostage,13
Angola,Assault,5
Angola,"Assault,Explosion",3
Angola,"Assault,Hostage",1
Angola,Explosion,10
Angola,Hostage,30
Argentina,Assault,22
Argentina,"Assault,Accident",1
Argentina,"Assault,Explosion",8
Argentina,"Assault,Hostage",3
Argentina,Explosion,102
Argentina,Hostage,17
Armenia,Assault,4
Armenia,"Assault,Hostage",1
Armenia,Explosion,3
Armenia,Hostage,1
Australia,Assault,9
Australia,"Assault,Explosion",2
Australia,"Assault,Hostage",6
Australia,Explosion,26
Australia,Hostage,3
Austria,Assault,9
Austria,"Assault,Explosion",2
Austria,"Assault,Explosion,Hostage",1
Austria,"Assault,Hostage",2
Austria,Explosion,32
Austria,Hostage,5
Azerbaijan,Assault,1
Azerbaijan,Explosion,7
Azores,Explosion,1
Bahamas,Assault,1
Bahrain,Assault,2
Bahrain,"Assault,Explosion",1
Bahrain,Explosion,8
Bangladesh,Assault,12
Bangladesh,"Assault,Explosion",2
Bangladesh,"Assault,Hostage",1
Bangladesh,Explosion,87
Bangladesh,Hostage,3
Barbados,Explosion,2
Belarus,Explosion,2
Belgium,Assault,11
Belgium,"Assault,Explosion",2
Belgium,"Assault,Hostage",1
Belgium,Explosion,64
Belgium,Hostage,1
Belize,Hostage,1
Benin,Explosion,1
Bhutan,Explosion,7
Bolivia,"Assault,Hostage",2
Bolivia,Explosion,56
Bolivia,Hostage,3
Bosnia & Herzegovina,Assault,3
Bosnia & Herzegovina,Explosion,27
Bosnia & Herzegovina,Hostage,4
Bosnia and Herzegovina,Assault,4
Bosnia and Herzegovina,"Assault,Explosion",1
Bosnia and Herzegovina,Explosion,53
Bosnia and Herzegovina,Hostage,2
Botswana,Explosion,3
Brazil,Assault,5
Brazil,"Assault,Hostage",3
Brazil,Explosion,21
Brazil,Hostage,7
Bulgaria,Assault,2
Bulgaria,Explosion,11
Burkina Faso,Assault,3
Burkina Faso,"Assault,Hostage",1
Burkina Faso,Explosion,1
Burundi,Assault,2
Burundi,"Assault,Explosion",1
Burundi,Explosion,2
Burundi,Hostage,1
Cambodia,Assault,4
Cambodia,Explosion,24
Cambodia,"Explosion,Hostage",1
Cambodia,Hostage,7
Cameroon,Assault,2
Cameroon,"Assault,Explosion",1
Cameroon,Explosion,6
Cameroon,Hostage,1
Canada,Assault,7
Canada,"Assault,Explosion,Hostage",1
Canada,Explosion,12
Canada,Hostage,2
Chad,Explosion,3
Chad,Hostage,3
Chechen Republic,Assault,8
Chechen Republic,"Assault,Explosion",4
Chechen Republic,"Assault,Hostage",3
Chechen Republic,Explosion,44
Chechen Republic,"Explosion,Hostage",1
Chechen Republic,Hostage,1
Chile,Assault,14
Chile,"Assault,Explosion",6
Chile,"Assault,Hostage",2
Chile,Explosion,160
China,Assault,5
China,"Assault,Explosion",1
China,Explosion,21
Colombia,Accident,1
Colombia,Assault,79
Colombia,"Assault,Explosion",15
